home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Chelsea, Southampton,H, 20.1839921344, 24.2182756327, 24.6301083026, 23.1023360769, 22.8796994291, 23.1920389668, 24.1495997242, 23.5267905143
Leicester, Crystal Palace,A, 19.931671814, 23.9570143714, 24.3852523355, 22.8484500665, 22.6310110765, 22.9284654228, 23.9011397653, 23.2656187168
Man City, Tottenham,H, 20.5059562363, 24.4512483088, 24.8811201041, 23.3812369518, 23.1297101224, 23.421481035, 24.3998928825, 23.7696509749
Stoke, West Ham,A, 20.1553386764, 24.3179883969, 24.7462886435, 23.2464054911, 23.0032733408, 23.2953845438, 24.2875333319, 23.6474287527
West Brom, Man United,A, 20.7850459813, 24.8551784795, 25.2648711845, 23.7740650656, 23.5342467922, 23.8219185405, 24.8328353453, 24.1846188353
Arsenal, Liverpool,D, 20.6083457113, 25.2583139779, 25.6739620936, 24.1555679557, 23.9532412056, 24.2314108142, 25.2396150064, 24.5989834762
Burnley, Tottenham,A, 20.4540671639, 25.8073335857, 26.2295176492, 24.6485912115, 24.5132412056, 24.7762330708, 25.8055002125, 25.148003084
Everton, Chelsea,D, 20.2078983611, 25.624649603, 26.0316284671, 24.56205275, 24.3278885835, 24.6056904351, 25.6505321177, 24.9488505417
Leicester, Man United,D, 19.9779690046, 25.534649603, 25.9460614568, 24.4913456793, 24.254743338, 24.5368281597, 25.5653165119, 24.8467104639
Stoke, West Brom,H, 19.5935167818, 25.9218177446, 26.3280839287, 24.4743002248, 24.6433147665, 24.9269380498, 25.9585749389, 25.2321730189
Bournemouth, West Ham,D, 20.1616280475, 26.2944111761, 26.700176952, 24.858021155, 25.0101786719, 25.2937552055, 26.3370153059, 25.6050543749
Man United, Burnley,D, 19.8018607002, 25.9207848025, 26.337676952, 24.5840485522, 24.5891499964, 24.9076499424, 25.9913362935, 25.2918013628
Crystal Palace, Arsenal,A, 19.5647823421, 26.3576780064, 26.7841055234, 25.0569549562, 25.0228234658, 25.3467215091, 26.4551044095, 25.7286945667
Chelsea, Stoke,H, 20.2261713058, 27.0206228773, 27.4652542715, 25.6843680836, 25.6982306966, 26.0325334749, 27.1305116403, 26.3906883362
Liverpool, Leicester,H, 20.8288977268, 27.6217157734, 28.0314044503, 26.2304431689, 26.2810527825, 26.6003011287, 27.7001318935, 26.9917812323
Watford, Swansea,A, 20.1915663939, 27.2426764721, 27.6790585442, 25.9299505581, 25.9407486, 26.238505354, 27.379743544, 26.6317812323
Crystal Palace, Man City,D, 19.8325373579, 27.0030598587, 27.4027427547, 25.6845517851, 25.6526599573, 25.9411306523, 27.1057709412, 26.3533002197
Burnley, Liverpool,A, 20.3664962356, 27.5586154143, 27.9561778692, 26.2122113596, 26.1854468426, 26.4915824596, 27.6513672, 26.9130017122
Everton, Man United,A, 20.7913495895, 28.0678746735, 28.4561778692, 26.656655804, 26.67805768, 26.9966422572, 28.1677991249, 27.4176746094
Stoke, Newcastle,A, 20.255908177, 27.9346147616, 28.3213464085, 26.5267123012, 26.5746094041, 26.8774369592, 28.0442036193, 27.3152247208
Southampton, Crystal Palace,A, 20.0660921556, 27.708565246, 28.0910624968, 26.3711567456, 26.3338102454, 26.6585572911, 27.808601525, 27.104698405
Swansea, Tottenham,A, 20.7191772189, 28.3733851906, 28.697998913, 26.9386714227, 26.9537730476, 27.2646527483, 28.4265790531, 27.7304094402
West Ham, West Brom,H, 21.178416036, 28.8094193057, 29.1476354655, 27.3275603116, 27.4124594883, 27.7202083038, 28.8785623516, 28.1872622321
Arsenal, Chelsea,D, 20.9820172654, 29.2040642417, 29.5384400632, 27.7090632018, 27.8184919709, 28.1123870748, 29.2578726965, 28.5814063763
Tottenham, West Ham,D, 20.6370694073, 28.9721801837, 29.2670114917, 27.5247628605, 27.5091556379, 27.7932381386, 29.0265250967, 28.2703643856
Chelsea, Leicester,D, 20.3131935086, 28.6440961942, 28.956368596, 27.3290681442, 27.199819305, 27.4843376151, 28.7175363327, 27.9593223949
Crystal Palace, Burnley,H, 20.3060771806, 29.1037489011, 29.4031771066, 27.7591756711, 27.6346019137, 27.9431372081, 29.1742873875, 28.4129306424
Newcastle, Swansea,D, 20.800602207, 28.990944023, 29.2647155682, 27.6960177764, 27.522899786, 27.8296620308, 29.0512104644, 28.2923276273
Tottenham, Everton,H, 21.4313443814, 29.6319696641, 29.8976269606, 28.2635324535, 28.1704982749, 28.4818773715, 29.6898480376, 28.9330373365
Watford, Southampton,D, 22.1502866451, 30.0132969982, 30.2769373054, 28.6450353437, 28.5497281466, 28.8689741457, 30.061276609, 29.3129256047
Bournemouth, Arsenal,H, 21.7068336948, 29.7329231664, 29.9847482987, 28.3469584206, 28.2912788424, 28.5984746169, 29.7929839261, 29.0427834246
Liverpool, Man City,H, 22.1528676559, 29.5731857484, 29.8274449279, 28.2105947842, 28.1369931281, 28.4445444859, 29.6581524654, 28.8881442493
Arsenal, Crystal Palace,H, 22.6270204654, 30.1014876352, 30.3418482201, 28.7433816695, 28.6641626334, 28.9807115254, 30.2037487242, 29.4224953943
Everton, West Brom,D, 23.1800045482, 30.0158345303, 30.2440221331, 28.6872018942, 28.596746903, 28.9136188737, 30.1064514269, 29.3472265771
Man City, Newcastle,H, 23.7433648596, 30.7162655648, 30.8750417279, 29.3372974965, 29.3165697159, 29.5789093485, 30.8262742398, 30.0211205121
