Date, HomeTeam, AwayTeam, FTHG, FTAG, FTR, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
08/08/15, Bournemouth, Aston Villa, 0, 1, A, 0.418558586012, 0.367971964041, 0.213469449947,
08/08/15, Chelsea, Swansea, 2, 2, D, 0.615211115121, 0.297455792133, 0.0873330927463,
08/08/15, Everton, Watford, 2, 2, D, 0.486958859909, 0.351573003496, 0.161468136596,
08/08/15, Leicester, Sunderland, 4, 2, H, 0.421370032473, 0.363074068347, 0.21555589918,
08/08/15, Man United, Tottenham, 1, 0, H, 0.50572519084, 0.347201017812, 0.147073791349,
08/08/15, Norwich, Crystal Palace, 1, 3, A, 0.335139573071, 0.371100164204, 0.293760262726,
09/08/15, Arsenal, West Ham, 0, 2, A, 0.620167397369, 0.307293742527, 0.0725388601036,
09/08/15, Newcastle, Southampton, 2, 2, D, 0.305623872766, 0.371864240039, 0.322511887195,
09/08/15, Stoke, Liverpool, 0, 1, A, 0.256841094575, 0.37381981117, 0.369339094255,
10/08/15, West Brom, Man City, 0, 3, A, 0.153403141361, 0.351178010471, 0.495418848168,
14/08/15, Aston Villa, Man United, 0, 1, A, 0.159757063639, 0.343015579614, 0.497227356747,
15/08/15, Southampton, Everton, 0, 3, A, 0.430736905298, 0.359447696233, 0.209815398469,
15/08/15, Sunderland, Norwich, 1, 3, A, 0.350725582912, 0.367683026251, 0.281591390836,
15/08/15, Swansea, Newcastle, 2, 0, H, 0.432106126099, 0.365330153525, 0.202563720376,
15/08/15, Tottenham, Stoke, 2, 2, D, 0.469308035714, 0.3564453125, 0.174246651786,
15/08/15, Watford, West Brom, 0, 0, D, 0.367284448026, 0.372441579371, 0.260273972603,
15/08/15, West Ham, Leicester, 1, 2, A, 0.371989152975, 0.3767746052, 0.251236241825,
16/08/15, Crystal Palace, Arsenal, 1, 2, A, 0.164389121905, 0.355432282506, 0.480178595589,
16/08/15, Man City, Chelsea, 3, 0, H, 0.40133416072, 0.370152032268, 0.228513807012,
17/08/15, Liverpool, Bournemouth, 1, 0, H, 0.559378584089, 0.334584506308, 0.106036909603,
22/08/15, Crystal Palace, Aston Villa, 2, 1, H, 0.455190386564, 0.35659475894, 0.188214854495,
22/08/15, Leicester, Tottenham, 1, 1, D, 0.308308799477, 0.386326463853, 0.30536473667,
22/08/15, Man United, Newcastle, 0, 0, D, 0.59033055581, 0.322314806336, 0.0873546378537,
22/08/15, Norwich, Stoke, 1, 1, D, 0.362900615086, 0.370508255099, 0.266591129815,
22/08/15, Sunderland, Swansea, 1, 1, D, 0.229487778297, 0.360423478125, 0.410088743578,
22/08/15, West Ham, Bournemouth, 3, 4, A, 0.35720045154, 0.376390904693, 0.266408643767,
23/08/15, Everton, Man City, 0, 2, A, 0.166369984938, 0.368752567438, 0.464877447624,
23/08/15, Watford, Southampton, 0, 0, D, 0.310781893004, 0.375473251029, 0.313744855967,
23/08/15, West Brom, Chelsea, 2, 3, A, 0.145470603078, 0.332828665153, 0.521700731769,
24/08/15, Arsenal, Liverpool, 0, 0, D, 0.471134161321, 0.361675992903, 0.167189845776,
29/08/15, Aston Villa, Sunderland, 2, 2, D, 0.450722733246, 0.352752226602, 0.196525040152,
29/08/15, Bournemouth, Leicester, 1, 1, D, 0.377901430843, 0.378855325914, 0.243243243243,
29/08/15, Chelsea, Crystal Palace, 1, 2, A, 0.605421958029, 0.309015581374, 0.0855624605962,
29/08/15, Liverpool, West Ham, 0, 3, A, 0.580232995115, 0.329575347614, 0.0901916572717,
29/08/15, Man City, Watford, 2, 0, H, 0.625482377155, 0.320298430666, 0.0542191921791,
29/08/15, Newcastle, Arsenal, 0, 1, A, 0.142498115104, 0.350087961799, 0.507413923096,
29/08/15, Stoke, West Brom, 0, 1, A, 0.440251572327, 0.354147948488, 0.205600479185,
29/08/15, Tottenham, Everton, 0, 0, D, 0.421435059037, 0.368907054193, 0.20965788677,
30/08/15, Southampton, Norwich, 3, 0, H, 0.412956708628, 0.369051274179, 0.217992017194,
30/08/15, Swansea, Man United, 2, 1, H, 0.249960019191, 0.365424596194, 0.384615384615,
12/09/15, Arsenal, Stoke, 2, 0, H, 0.621596021785, 0.30681190307, 0.0715920751441,
12/09/15, Crystal Palace, Man City, 0, 1, A, 0.148505924781, 0.360123647604, 0.491370427615,
12/09/15, Everton, Chelsea, 3, 1, H, 0.21403562186, 0.366418024052, 0.419546354087,
12/09/15, Man United, Liverpool, 3, 1, H, 0.446296842726, 0.351726172912, 0.201976984361,
12/09/15, Norwich, Bournemouth, 3, 1, H, 0.34858812074, 0.381045115222, 0.270366764038,
