home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Burnley, Arsenal,A, 12.7827109035, 20.2775417619, 20.7871585635, 19.0025293494, 18.9733625172, 19.3892537922, 20.2106995678, 19.6163531124
Southampton, Everton,H, 12.5173266891, 20.7506493316, 21.2504012624, 19.4155728277, 19.4461271626, 19.8704132125, 20.6741393207, 20.1101802729
Leicester, Tottenham,H, 12.5130681298, 20.4451982038, 20.9577183355, 19.1249324336, 19.1576656242, 19.5803943801, 20.3780228158, 19.8050159536
Watford, Man United,A, 13.0028688252, 20.9286236182, 21.436187235, 19.6057016644, 19.6391471057, 20.0614754612, 20.854213292, 20.2875527183
West Brom, Newcastle,D, 13.5252333619, 20.8840305301, 21.4133300922, 19.5999213176, 19.6052488006, 20.0306044578, 20.8204295082, 20.2652810034
Bournemouth, Burnley,A, 13.2077164716, 20.6443185959, 21.1899258369, 19.4332546509, 19.3824227136, 19.7800973585, 20.584827414, 20.025815433
Everton, West Ham,H, 13.6823813878, 21.0119163613, 21.1785622005, 19.4276049334, 19.3649808532, 20.152624831, 20.9556139308, 20.4002647722
Man City, Southampton,H, 14.3489121332, 21.632007308, 21.8408138561, 20.0613184949, 20.0401198524, 20.767694446, 21.6302171054, 21.020099483
Stoke, Liverpool,A, 14.9089637818, 22.1499355948, 22.3437476365, 20.5889780693, 20.5507581502, 21.2767710049, 22.1289702226, 21.5347471473
Arsenal, Man United,A, 14.7589879552, 22.0498231089, 22.2517936135, 20.5080532138, 20.4422400639, 21.167882116, 22.0485104525, 21.4286018959
Leicester, Burnley,H, 15.181079661, 22.5292094943, 22.7150363124, 20.9396321612, 20.9222400639, 21.6479201388, 22.53160224, 21.9079882813
Stoke, Swansea,H, 15.6564416584, 22.9865265675, 23.1624047335, 21.3712111086, 21.3715001062, 22.1098439865, 22.9713928159, 22.3702998391
Watford, Tottenham,D, 16.2398890089, 22.8932429854, 23.0804375204, 21.2803020177, 21.2891357651, 22.0227296489, 22.8574327019, 22.287197346
West Brom, Crystal Palace,D, 16.7045781817, 22.8932429854, 23.0804375204, 21.6407671339, 21.2773710592, 22.013781103, 22.8574327019, 22.287197346
Bournemouth, Southampton,D, 17.131192139, 23.2742511917, 23.4409026366, 22.0128601572, 21.6399441586, 22.3747676501, 23.213754541, 22.6544289844
Burnley, Watford,H, 17.6136900994, 23.2460026042, 23.4177812494, 21.9955191167, 21.6283162516, 22.3489539576, 23.1764585037, 22.6431930294
Crystal Palace, Bournemouth,D, 17.560816913, 23.1935917027, 23.3640178085, 21.9621857834, 21.567542771, 22.2775992524, 23.1120116723, 22.621687653
Newcastle, Leicester,A, 17.4898089623, 23.117455339, 23.2888732998, 21.8924183415, 21.4798234727, 22.2012805094, 23.0242923741, 22.5458099633
Swansea, West Brom,H, 17.433130338, 23.1060917027, 23.6377105091, 21.8631785755, 21.825061568, 22.5489103062, 23.0125276682, 22.8980826906
West Ham, Chelsea,H, 16.9779378041, 22.6616472582, 23.1983165697, 21.4674338946, 21.3919907018, 22.1109970072, 22.5725276682, 22.45690622
Liverpool, Everton,D, 16.6347428796, 22.3884232145, 22.9304594269, 21.3181801633, 21.0826543689, 21.8334800536, 22.265779202, 22.2255586202
Man United, Man City,A, 17.0874179504, 22.3763882036, 22.8973102556, 21.3010373061, 21.059797226, 21.8204789702, 22.2544797669, 22.2034591727
Southampton, Arsenal,D, 17.5436980125, 22.3506150077, 22.8552492672, 21.2575590452, 21.032623313, 21.8142613536, 22.2329974898, 22.1723710898
Burnley, Stoke,H, 17.9978751873, 22.7466546117, 23.2507294932, 21.2402180048, 21.4304133682, 22.2077039766, 22.6123078346, 22.5799797855
Crystal Palace, Watford,H, 18.4785910133, 22.7189997444, 23.2338755606, 21.6043798545, 21.3970800349, 22.1891044142, 22.5845300569, 22.5580017635
Liverpool, West Brom,D, 18.1921894874, 22.3744691673, 22.9343363901, 21.3304072518, 21.0226306957, 21.8662460414, 22.2397024707, 22.2752496429
Man United, Bournemouth,H, 18.8388201929, 22.9968758063, 23.5556221815, 21.9331469778, 21.6616083315, 22.4728119611, 22.8783400438, 22.9159593521
