Date, HomeTeam, AwayTeam, FTHG, FTAG, FTR, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
17/08/13, Arsenal, Aston Villa, 1, 3, A, 0.560933360505, 0.339820664357, 0.0992459751376,
17/08/13, Liverpool, Stoke, 1, 0, H, 0.591692789969, 0.312597962382, 0.0957092476489,
17/08/13, Norwich, Everton, 2, 2, D, 0.265392781316, 0.381512330557, 0.353094888127,
17/08/13, Sunderland, Fulham, 0, 1, A, 0.376290322581, 0.371290322581, 0.252419354839,
17/08/13, Swansea, Man United, 1, 4, A, 0.201563204569, 0.368555538855, 0.429881256576,
17/08/13, West Brom, Southampton, 0, 1, A, 0.361304982957, 0.378672293459, 0.260022723584,
17/08/13, West Ham, Cardiff, 2, 0, H, 0.422708618331, 0.371181030552, 0.206110351117,
18/08/13, Chelsea, Hull, 2, 0, H, 0.678259830286, 0.271602724991, 0.0501374447233,
18/08/13, Crystal Palace, Tottenham, 0, 1, A, 0.175366817156, 0.36032731377, 0.464305869074,
19/08/13, Man City, Newcastle, 4, 0, H, 0.603226896435, 0.319817536746, 0.0769555668187,
21/08/13, Chelsea, Aston Villa, 2, 1, H, 0.598202824134, 0.324261874198, 0.0775353016688,
24/08/13, Aston Villa, Liverpool, 0, 1, A, 0.205547976353, 0.380172805821, 0.414279217826,
24/08/13, Everton, West Brom, 0, 0, D, 0.523116126684, 0.344739716054, 0.132144157262,
24/08/13, Fulham, Arsenal, 1, 3, A, 0.22999528376, 0.380128910549, 0.389875805691,
24/08/13, Hull, Norwich, 1, 0, H, 0.344063064543, 0.378551486287, 0.277385449171,
24/08/13, Newcastle, West Ham, 0, 0, D, 0.374436574372, 0.375080489375, 0.250482936252,
24/08/13, Southampton, Sunderland, 1, 1, D, 0.479688141157, 0.355765285187, 0.164546573656,
24/08/13, Stoke, Crystal Palace, 2, 1, H, 0.469898469898, 0.348205348205, 0.181896181896,
25/08/13, Cardiff, Man City, 3, 2, H, 0.107021276596, 0.331914893617, 0.561063829787,
25/08/13, Tottenham, Swansea, 1, 0, H, 0.516834389365, 0.34526028078, 0.137905329855,
26/08/13, Man United, Chelsea, 0, 0, D, 0.34709803284, 0.385465777922, 0.267436189238,
31/08/13, Cardiff, Everton, 0, 0, D, 0.259613824436, 0.378062631835, 0.362323543729,
31/08/13, Crystal Palace, Sunderland, 3, 1, H, 0.333003136866, 0.377414561664, 0.289582301469,
31/08/13, Man City, Hull, 2, 0, H, 0.663756448778, 0.28964226997, 0.0466012812518,
31/08/13, Newcastle, Fulham, 1, 0, H, 0.391654812707, 0.376007586534, 0.232337600759,
31/08/13, Norwich, Southampton, 1, 0, H, 0.292279715655, 0.380228136882, 0.327492147462,
31/08/13, West Ham, Stoke, 0, 1, A, 0.425148786815, 0.364108042118, 0.210743171067,
01/09/13, Arsenal, Tottenham, 1, 0, H, 0.383239171375, 0.389202762084, 0.227558066541,
01/09/13, Liverpool, Man United, 1, 0, H, 0.316484968616, 0.381731086885, 0.3017839445,
01/09/13, West Brom, Swansea, 0, 2, A, 0.320249630481, 0.390376088028, 0.289374281491,
14/09/13, Aston Villa, Newcastle, 1, 2, A, 0.39374205845, 0.369123252859, 0.237134688691,
14/09/13, Everton, Chelsea, 1, 0, H, 0.248485814472, 0.369461268728, 0.382052916799,
14/09/13, Fulham, West Brom, 1, 1, D, 0.392433116986, 0.371062213076, 0.236504669938,
14/09/13, Hull, Cardiff, 1, 1, D, 0.353241197762, 0.368542283646, 0.278216518592,
14/09/13, Man United, Crystal Palace, 2, 0, H, 0.652132031852, 0.29347546879, 0.0543924993578,
14/09/13, Stoke, Man City, 0, 0, D, 0.148655635988, 0.337642192347, 0.513702171665,
