home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Everton, Chelsea,D, 25.582271461, 26.6992790979, 26.383179666, 25.2712390931, 25.6224374936, 26.0019865674, 26.4664351802, 26.670604914
Leicester, Man United,D, 25.3956383457, 26.6092790979, 26.2976126557, 25.2005320224, 25.5492922481, 25.9331242919, 26.3812195744, 26.5684648362
Man City, Bournemouth,H, 26.0821434474, 27.2641765922, 26.9623525401, 25.8645426466, 26.2318861047, 26.5606767014, 27.0636342726, 27.2150771499
Stoke, West Brom,H, 26.02572416, 27.6513447338, 27.344375012, 25.8474971921, 26.6204575333, 26.9507865915, 27.4568926996, 27.600539705
Swansea, Crystal Palace,D, 26.4363954663, 27.6412776197, 27.3328807592, 26.2079623083, 26.6088968397, 26.9430260594, 27.4341654268, 27.5783174828
West Ham, Newcastle,A, 26.0679399293, 27.4504460632, 27.1570565833, 25.976383361, 26.4311190619, 26.7593742547, 27.253837558, 27.3868281211
Bournemouth, West Ham,D, 26.5348108242, 27.8230394947, 27.5291496066, 26.3601042912, 26.7979829672, 27.1261914105, 27.632277925, 27.759709477
Man United, Burnley,D, 26.2272278272, 27.4494131211, 27.1666496066, 26.0861316885, 26.3769542917, 26.7400861473, 27.2865989126, 27.4464564649
Tottenham, Southampton,H, 26.6889574439, 28.0514600807, 27.7386549902, 26.6335769439, 26.9706218379, 27.3085272119, 27.9213363621, 28.0485034246
Watford, Leicester,H, 26.5457540053, 27.98075301, 27.6529407045, 26.5815538225, 26.8892264891, 27.2471432834, 27.8621108496, 27.9698517392
West Brom, Everton,D, 26.4677029975, 28.3427439603, 27.6414464516, 26.9594607993, 26.8774617832, 27.2404543202, 28.2299269416, 27.9619688563
Newcastle, Man City,A, 26.9390296927, 28.9617915793, 28.268859579, 27.4974354828, 27.5048749106, 27.8459324557, 28.8719022502, 28.6079636884
Crystal Palace, Arsenal,A, 26.8341047787, 29.3986847832, 28.7152881504, 27.9703418868, 27.93854838, 28.2850040224, 29.3356703661, 29.0448568922
Bournemouth, Everton,H, 26.6879469514, 29.7662825486, 29.0810024361, 27.9240991122, 28.306364472, 28.6575314949, 29.3124145522, 29.4123401885
Chelsea, Stoke,H, 27.2672724374, 30.4292274195, 29.7621511843, 28.5515122396, 28.9817717028, 29.3433434607, 29.987821783, 30.0743339579
