Date, HomeTeam, AwayTeam, FTHG, FTAG, FTR, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
21/03/15, West Ham, Sunderland, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
22/03/15, Hull, Chelsea, 2, 3, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
22/03/15, Liverpool, Man United, 1, 2, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
22/03/15, QPR, Everton, 1, 2, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/04/15, Arsenal, Liverpool, 4, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/04/15, Chelsea, Stoke, 2, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/04/15, Everton, Southampton, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/04/15, Leicester, West Ham, 2, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/04/15, Man United, Aston Villa, 3, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/04/15, Swansea, Hull, 3, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/04/15, West Brom, QPR, 1, 4, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
05/04/15, Burnley, Tottenham, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
05/04/15, Sunderland, Newcastle, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
06/04/15, Crystal Palace, Man City, 2, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
07/04/15, Aston Villa, QPR, 3, 3, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/04/15, Burnley, Arsenal, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/04/15, Southampton, Hull, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/04/15, Sunderland, Crystal Palace, 1, 4, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/04/15, Swansea, Everton, 1, 1, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/04/15, Tottenham, Aston Villa, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/04/15, West Brom, Leicester, 2, 3, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/04/15, West Ham, Stoke, 1, 1, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
12/04/15, Man United, Man City, 4, 2, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
12/04/15, QPR, Chelsea, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
13/04/15, Liverpool, Newcastle, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
18/04/15, Chelsea, Man United, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
18/04/15, Crystal Palace, West Brom, 0, 2, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
18/04/15, Everton, Burnley, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
18/04/15, Leicester, Swansea, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
18/04/15, Stoke, Southampton, 2, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
19/04/15, Man City, West Ham, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
19/04/15, Newcastle, Tottenham, 1, 3, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, Burnley, Leicester, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, Crystal Palace, Hull, 0, 2, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, Man City, Aston Villa, 3, 2, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, Newcastle, Swansea, 2, 3, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, QPR, West Ham, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, Southampton, Tottenham, 2, 2, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, Stoke, Sunderland, 1, 1, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
25/04/15, West Brom, Liverpool, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
26/04/15, Arsenal, Chelsea, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
26/04/15, Everton, Man United, 3, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
28/04/15, Hull, Liverpool, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
29/04/15, Leicester, Chelsea, 1, 3, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
02/05/15, Aston Villa, Everton, 3, 2, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
02/05/15, Leicester, Newcastle, 3, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
02/05/15, Liverpool, QPR, 2, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
02/05/15, Man United, West Brom, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
02/05/15, Sunderland, Southampton, 2, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
02/05/15, Swansea, Stoke, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
02/05/15, West Ham, Burnley, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
03/05/15, Chelsea, Crystal Palace, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
03/05/15, Tottenham, Man City, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
04/05/15, Hull, Arsenal, 1, 3, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
09/05/15, Aston Villa, West Ham, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
09/05/15, Crystal Palace, Man United, 1, 2, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
09/05/15, Everton, Sunderland, 0, 2, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
09/05/15, Hull, Burnley, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
09/05/15, Leicester, Southampton, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
09/05/15, Newcastle, West Brom, 1, 1, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
09/05/15, Stoke, Tottenham, 3, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
10/05/15, Chelsea, Liverpool, 1, 1, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
10/05/15, Man City, QPR, 6, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/05/15, Arsenal, Swansea, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/05/15, Burnley, Stoke, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/05/15, Liverpool, Crystal Palace, 1, 3, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/05/15, QPR, Newcastle, 2, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/05/15, Southampton, Aston Villa, 6, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/05/15, Sunderland, Leicester, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/05/15, Tottenham, Hull, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
16/05/15, West Ham, Everton, 1, 2, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
17/05/15, Man United, Arsenal, 1, 1, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
17/05/15, Swansea, Man City, 2, 4, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
18/05/15, West Brom, Chelsea, 3, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
20/05/15, Arsenal, Sunderland, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Arsenal, West Brom, 4, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Aston Villa, Burnley, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Chelsea, Sunderland, 3, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Crystal Palace, Swansea, 1, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Everton, Tottenham, 0, 1, A, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Hull, Man United, 0, 0, D, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Leicester, QPR, 5, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Man City, Southampton, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Newcastle, West Ham, 2, 0, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
24/05/15, Stoke, Liverpool, 6, 1, H, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
