home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Watford, Arsenal,H, 5.45554478007, 11.7028686542, 11.4383248769, 11.7004245803, 10.8042705256, 11.2717671422, 11.5439900414, 11.3790152957
Southampton, Newcastle,D, 5.35476245688, 11.6129585643, 11.3368020343, 11.6095154894, 10.6912181104, 11.1484661713, 11.4535377801, 11.2554975091
Leicester, West Brom,D, 5.79081421246, 11.5300570099, 11.2516956513, 11.5463575946, 10.620179859, 11.057837953, 11.3897079928, 11.1920054456
Chelsea, Watford,H, 6.13626078087, 12.1321039695, 11.8446443692, 12.09243268, 11.2138474052, 11.6378768382, 11.9756454928, 11.7817012867
Man City, Burnley,H, 6.6537686749, 12.7968955829, 12.5272382259, 12.7678548188, 11.8962621033, 12.2711367501, 12.6956676474, 12.4173557219
Newcastle, Crystal Palace,H, 7.16090620147, 13.2298852737, 12.9611006598, 13.1994337662, 12.3286945358, 12.7037898114, 13.1448655083, 12.8600960082
Southampton, West Brom,H, 7.12268902485, 13.7303619181, 13.4512967382, 13.6310127135, 12.8237440407, 13.2130662492, 13.6336240616, 13.3726775552
Stoke, Bournemouth,A, 6.92774948267, 13.5723532601, 13.3164652775, 13.4353605396, 12.676016768, 13.0618783442, 13.4891796171, 13.2159207985
Swansea, Leicester,A, 6.60359465101, 13.5200210644, 13.2586618093, 13.3313142968, 12.6292331423, 13.0078242902, 13.465977761, 13.1686235012
Everton, Arsenal,A, 6.4691501417, 13.9219298661, 13.671360222, 13.7443577751, 13.0248375379, 13.4082413913, 13.8937852476, 13.5852901678
Tottenham, Liverpool,H, 6.95926555631, 13.9098948552, 14.0512484902, 13.7387080576, 12.9909392328, 13.3844318675, 14.2805255791, 13.5635510374
Arsenal, Swansea,H, 7.38655026746, 14.5024874478, 14.6265909559, 14.3414477836, 13.6183523602, 13.9955681283, 14.8931551738, 14.1753157433
Bournemouth, Chelsea,A, 7.35570865297, 15.0105314782, 15.1008456985, 14.850376355, 14.0896058946, 14.4803903312, 15.3790208982, 14.6510866684
Crystal Palace, West Ham,D, 7.81256736255, 15.0105314782, 15.4779885556, 15.2318792452, 14.0896058946, 14.4770827237, 15.7540208982, 14.6510866684
Man United, Tottenham,H, 8.24632242308, 15.4171838388, 15.8887993664, 15.2262295277, 14.4850861206, 14.8692820737, 16.1474635212, 15.0445292913
