Date, HomeTeam, AwayTeam, FTHG, FTAG, FTR, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
21/08/16, West Ham, Bournemouth, 1, 0, H, 0.426022304833, 0.373977695167, 0.2,
27/08/16, Chelsea, Burnley, 3, 0, H, 0.653056861907, 0.283953256377, 0.0629898817158,
27/08/16, Crystal Palace, Bournemouth, 1, 1, D, 0.362649821833, 0.369776482021, 0.267573696145,
27/08/16, Everton, Stoke, 1, 0, H, 0.486552236789, 0.349912150291, 0.163535612921,
27/08/16, Hull, Man United, 0, 1, A, 0.109743040685, 0.323340471092, 0.566916488223,
27/08/16, Leicester, Swansea, 2, 1, H, 0.490678195082, 0.345582275061, 0.163739529857,
27/08/16, Southampton, Sunderland, 1, 1, D, 0.53337446021, 0.327328809377, 0.139296730413,
27/08/16, Tottenham, Liverpool, 1, 1, D, 0.337439222042, 0.391572123177, 0.270988654781,
27/08/16, Watford, Arsenal, 1, 3, A, 0.165574665575, 0.359131859132, 0.475293475293,
28/08/16, Man City, West Ham, 3, 1, H, 0.591186275307, 0.335799658509, 0.0730140661842,
28/08/16, West Brom, Middlesbrough, 0, 0, D, 0.350140056022, 0.352446861097, 0.29741308288,
10/09/16, Arsenal, Southampton, 2, 1, H, 0.524203211119, 0.34363767074, 0.13215911814,
10/09/16, Bournemouth, West Brom, 1, 0, H, 0.436155606407, 0.344164759725, 0.219679633867,
10/09/16, Burnley, Hull, 1, 1, D, 0.367499189102, 0.358579305871, 0.273921505028,
10/09/16, Liverpool, Leicester, 4, 1, H, 0.496, 0.352516129032, 0.151483870968,
10/09/16, Man United, Man City, 1, 2, A, 0.371021909483, 0.364784903246, 0.26419318727,
10/09/16, Middlesbrough, Crystal Palace, 1, 2, A, 0.389164136167, 0.355282084066, 0.255553779767,
10/09/16, Stoke, Tottenham, 0, 4, A, 0.186340762042, 0.361897915169, 0.451761322789,
10/09/16, West Ham, Watford, 2, 4, A, 0.454505877231, 0.354085038456, 0.191409084313,
11/09/16, Swansea, Chelsea, 2, 2, D, 0.147167409293, 0.348440483768, 0.504392106938,
12/09/16, Sunderland, Everton, 0, 3, A, 0.228505034857, 0.370255615802, 0.401239349342,
16/09/16, Chelsea, Liverpool, 1, 2, A, 0.366892851507, 0.381726368944, 0.251380779549,
17/09/16, Everton, Middlesbrough, 3, 1, H, 0.517355371901, 0.334265734266, 0.148378893833,
17/09/16, Hull, Arsenal, 1, 4, A, 0.136949318935, 0.347281875077, 0.515768805988,
17/09/16, Leicester, Burnley, 3, 0, H, 0.569229112834, 0.317291128338, 0.113479758829,
17/09/16, Man City, Bournemouth, 4, 0, H, 0.618514596884, 0.313795189835, 0.0676902132809,
17/09/16, West Brom, West Ham, 4, 2, H, 0.31905465288, 0.365009026752, 0.315936320368,
18/09/16, Crystal Palace, Stoke, 4, 1, H, 0.424094919379, 0.35853361728, 0.21737146334,
18/09/16, Southampton, Swansea, 1, 0, H, 0.506218091373, 0.338918706637, 0.15486320199,
18/09/16, Tottenham, Sunderland, 1, 0, H, 0.606376664123, 0.315017383193, 0.0786059526838,
18/09/16, Watford, Man United, 3, 1, H, 0.141183800623, 0.350404984424, 0.508411214953,
24/09/16, Arsenal, Chelsea, 3, 0, H, 0.35024, 0.38288, 0.26688,
24/09/16, Bournemouth, Everton, 1, 0, H, 0.231510254817, 0.375543816035, 0.392945929149,
24/09/16, Liverpool, Hull, 5, 1, H, 0.638703274892, 0.304333443599, 0.0569632815084,
24/09/16, Man United, Leicester, 4, 1, H, 0.487737704918, 0.355540983607, 0.156721311475,
24/09/16, Middlesbrough, Tottenham, 1, 2, A, 0.219981668194, 0.36938588451, 0.410632447296,
24/09/16, Stoke, West Brom, 1, 1, D, 0.370192307692, 0.366987179487, 0.262820512821,
24/09/16, Sunderland, Crystal Palace, 2, 3, A, 0.304049640758, 0.37230568256, 0.323644676682,
24/09/16, Swansea, Man City, 1, 3, A, 0.0912439784642, 0.337772740153, 0.570983281383,
25/09/16, West Ham, Southampton, 0, 3, A, 0.306039394433, 0.376037766564, 0.317922839004,
26/09/16, Burnley, Watford, 2, 0, H, 0.302154750245, 0.368266405485, 0.32957884427,
30/09/16, Everton, Crystal Palace, 1, 1, D, 0.472881813276, 0.362924986508, 0.164193200216,
01/10/16, Hull, Chelsea, 0, 2, A, 0.113653699466, 0.339544513458, 0.546801787076,
01/10/16, Sunderland, West Brom, 1, 1, D, 0.357651245552, 0.362989323843, 0.279359430605,
01/10/16, Swansea, Liverpool, 1, 2, A, 0.104381976023, 0.338156262919, 0.557461761058,
01/10/16, Watford, Bournemouth, 2, 2, D, 0.369206094627, 0.36680032077, 0.263993584603,
01/10/16, West Ham, Middlesbrough, 1, 1, D, 0.387187941592, 0.371329879102, 0.241482179306,
02/10/16, Burnley, Arsenal, 0, 1, A, 0.0901906090191, 0.317805671781, 0.5920037192,
02/10/16, Leicester, Southampton, 0, 0, D, 0.386177581864, 0.369962216625, 0.243860201511,
02/10/16, Man United, Stoke, 1, 1, D, 0.598461798513, 0.322937795808, 0.0786004056795,
02/10/16, Tottenham, Man City, 2, 0, H, 0.270535283716, 0.386433049349, 0.343031666935,
15/10/16, Arsenal, Swansea, 3, 2, H, 0.612585291888, 0.319560272934, 0.0678544351782,
15/10/16, Bournemouth, Hull, 6, 1, H, 0.473143982002, 0.346034870641, 0.180821147357,
15/10/16, Chelsea, Leicester, 3, 0, H, 0.515896820636, 0.351049790042, 0.133053389322,
15/10/16, Crystal Palace, West Ham, 0, 1, A, 0.394749106727, 0.37393195588, 0.231318937393,
15/10/16, Man City, Everton, 1, 1, D, 0.525047206487, 0.358880373209, 0.116072420304,
15/10/16, Stoke, Sunderland, 2, 0, H, 0.422649444278, 0.366626614599, 0.210723941123,
15/10/16, West Brom, Tottenham, 1, 1, D, 0.160882861322, 0.343837255684, 0.495279882994,
16/10/16, Middlesbrough, Watford, 0, 1, A, 0.391056137012, 0.357120202981, 0.251823660006,
16/10/16, Southampton, Burnley, 3, 1, H, 0.60634774609, 0.303955841766, 0.0896964121435,
17/10/16, Liverpool, Man United, 0, 0, D, 0.387611450023, 0.37400281558, 0.238385734397,
22/10/16, Arsenal, Middlesbrough, 0, 0, D, 0.633668270592, 0.30448627229, 0.0618454571186,
22/10/16, Bournemouth, Tottenham, 0, 0, D, 0.206145584726, 0.371420047733, 0.422434367542,
22/10/16, Burnley, Everton, 2, 1, H, 0.148387096774, 0.331688804554, 0.519924098672,
22/10/16, Hull, Stoke, 0, 2, A, 0.286595261279, 0.37082116196, 0.342583576761,
22/10/16, Leicester, Crystal Palace, 3, 1, H, 0.41825095057, 0.364106463878, 0.217642585551,
22/10/16, Liverpool, West Brom, 2, 1, H, 0.615710609959, 0.316028454669, 0.0682609353716,
22/10/16, Swansea, Watford, 0, 0, D, 0.367966751918, 0.371643222506, 0.260390025575,
22/10/16, West Ham, Sunderland, 1, 0, H, 0.490830495153, 0.353287922452, 0.155881582395,
23/10/16, Chelsea, Man United, 4, 0, H, 0.395268682438, 0.361272129093, 0.243459188469,
23/10/16, Man City, Southampton, 1, 1, D, 0.538274873152, 0.345907787337, 0.11581733951,
29/10/16, Crystal Palace, Liverpool, 2, 4, A, 0.164597949271, 0.367242309768, 0.468159740961,
29/10/16, Man United, Burnley, 0, 0, D, 0.683548684818, 0.267651130595, 0.048800184587,
29/10/16, Middlesbrough, Bournemouth, 2, 0, H, 0.357793686951, 0.355515782623, 0.286690530426,
29/10/16, Sunderland, Arsenal, 1, 4, A, 0.0955996884735, 0.342192367601, 0.562207943925,
29/10/16, Tottenham, Leicester, 1, 1, D, 0.505295007564, 0.349218356026, 0.145486636409,
29/10/16, Watford, Hull, 1, 0, H, 0.493711533315, 0.342788332887, 0.163500133797,
29/10/16, West Brom, Man City, 0, 4, A, 0.106414146699, 0.333996023857, 0.559589829444,
30/10/16, Everton, West Ham, 2, 0, H, 0.453465623253, 0.370178870878, 0.176355505869,
30/10/16, Southampton, Chelsea, 0, 2, A, 0.26875502008, 0.376224899598, 0.355020080321,
31/10/16, Stoke, Swansea, 3, 1, H, 0.405651777575, 0.37708903069, 0.217259191735,
05/11/16, Bournemouth, Sunderland, 1, 2, A, 0.500759109312, 0.35387145749, 0.145369433198,
05/11/16, Burnley, Crystal Palace, 3, 2, H, 0.265243902439, 0.366976893453, 0.367779204108,
05/11/16, Chelsea, Everton, 5, 0, H, 0.534139816215, 0.339420728161, 0.126439455624,
05/11/16, Man City, Middlesbrough, 1, 1, D, 0.645267698554, 0.300748540979, 0.0539837604669,
05/11/16, West Ham, Stoke, 1, 1, D, 0.415165733313, 0.370667473891, 0.214166792796,
06/11/16, Arsenal, Tottenham, 1, 1, D, 0.431764004768, 0.363379022646, 0.204856972586,
06/11/16, Hull, Southampton, 2, 1, H, 0.152731038053, 0.342091638623, 0.505177323324,
06/11/16, Leicester, West Brom, 1, 2, A, 0.49184561022, 0.338814895352, 0.169339494428,
06/11/16, Liverpool, Watford, 6, 1, H, 0.619381380466, 0.311900045711, 0.0687185738229,
06/11/16, Swansea, Man United, 1, 3, A, 0.162405812702, 0.366792249731, 0.470801937567,
19/11/16, Crystal Palace, Man City, 1, 2, A, 0.125291647224, 0.358142790481, 0.516565562296,
19/11/16, Everton, Swansea, 1, 1, D, 0.519913885899, 0.347924889367, 0.132161224734,
19/11/16, Man United, Arsenal, 1, 1, D, 0.330245408744, 0.376726799935, 0.293027791321,
19/11/16, Southampton, Liverpool, 0, 0, D, 0.241595978637, 0.382657869934, 0.375746151429,
19/11/16, Stoke, Bournemouth, 0, 1, A, 0.379108723135, 0.372629582807, 0.248261694058,
19/11/16, Sunderland, Hull, 3, 0, H, 0.40782122905, 0.360024829299, 0.232153941651,
19/11/16, Tottenham, West Ham, 3, 2, H, 0.538401077925, 0.34201661801, 0.119582304065,
19/11/16, Watford, Leicester, 2, 1, H, 0.308960339481, 0.371307328219, 0.3197323323,
20/11/16, Middlesbrough, Chelsea, 0, 1, A, 0.126849155504, 0.336400698893, 0.536750145603,
21/11/16, West Brom, Burnley, 4, 0, H, 0.459136018681, 0.342819614711, 0.198044366608,
26/11/16, Burnley, Man City, 1, 2, A, 0.0799169693825, 0.348815083896, 0.571267946722,
26/11/16, Chelsea, Tottenham, 2, 1, H, 0.477251120467, 0.35528996333, 0.167458916203,
26/11/16, Hull, West Brom, 1, 1, D, 0.289871565599, 0.36140464965, 0.34872378475,
26/11/16, Leicester, Middlesbrough, 2, 2, D, 0.456440483036, 0.354370327775, 0.189189189189,
26/11/16, Liverpool, Sunderland, 2, 0, H, 0.653038551272, 0.300966559271, 0.0459948894567,
26/11/16, Swansea, Crystal Palace, 5, 4, H, 0.328778265821, 0.375305026842, 0.295916707337,
27/11/16, Arsenal, Bournemouth, 3, 1, H, 0.560522696011, 0.342798192179, 0.0966791118098,
27/11/16, Man United, West Ham, 1, 1, D, 0.548345647286, 0.341578327444, 0.11007602527,
27/11/16, Southampton, Everton, 1, 0, H, 0.398311708613, 0.365014850711, 0.236673440675,
27/11/16, Watford, Stoke, 0, 1, A, 0.360341494845, 0.370006443299, 0.269652061856,
03/12/16, Crystal Palace, Southampton, 3, 0, H, 0.254577296609, 0.370800827894, 0.374621875498,
03/12/16, Man City, Chelsea, 1, 3, A, 0.391196528208, 0.378022318661, 0.230781153131,
03/12/16, Stoke, Burnley, 2, 0, H, 0.525036818851, 0.335051546392, 0.139911634757,
03/12/16, Sunderland, Leicester, 2, 1, H, 0.258661983075, 0.371866517643, 0.369471499281,
03/12/16, Tottenham, Swansea, 5, 0, H, 0.585324686862, 0.330905214533, 0.0837700986053,
03/12/16, West Brom, Watford, 3, 1, H, 0.405270544207, 0.358334632777, 0.236394823016,
03/12/16, West Ham, Arsenal, 1, 5, A, 0.165244480563, 0.375186238656, 0.45956928078,
04/12/16, Bournemouth, Liverpool, 4, 3, H, 0.168631752125, 0.373046339457, 0.458321908418,
04/12/16, Everton, Man United, 1, 1, D, 0.23238124806, 0.37255510711, 0.395063644831,
05/12/16, Middlesbrough, Hull, 1, 0, H, 0.487048773767, 0.338523009093, 0.17442821714,
10/12/16, Arsenal, Stoke, 3, 1, H, 0.577546509486, 0.334684103887, 0.0877693866274,
10/12/16, Burnley, Bournemouth, 3, 2, H, 0.251586294416, 0.376744923858, 0.371668781726,
10/12/16, Hull, Crystal Palace, 3, 3, D, 0.261562998405, 0.368740031898, 0.369696969697,
10/12/16, Leicester, Man City, 4, 2, H, 0.160690393364, 0.36660422799, 0.472705378646,
10/12/16, Swansea, Sunderland, 3, 0, H, 0.388628553577, 0.37488284911, 0.236488597313,
10/12/16, Watford, Everton, 3, 2, H, 0.277328589909, 0.378234152652, 0.344437257439,
11/12/16, Chelsea, West Brom, 1, 0, H, 0.635487120449, 0.300402935674, 0.0641099438768,
11/12/16, Liverpool, West Ham, 2, 2, D, 0.595316915624, 0.331368591038, 0.0733144933387,
11/12/16, Man United, Tottenham, 1, 0, H, 0.388810309602, 0.370422756561, 0.240766933836,
11/12/16, Southampton, Middlesbrough, 1, 0, H, 0.525767961412, 0.324067022087, 0.150165016502,
13/12/16, Bournemouth, Leicester, 1, 0, H, 0.347336230484, 0.382584902624, 0.270078866892,
13/12/16, Everton, Arsenal, 2, 1, H, 0.194865810968, 0.375145857643, 0.429988331389,
14/12/16, Crystal Palace, Man United, 1, 2, A, 0.157078472959, 0.361611876988, 0.481309650053,
14/12/16, Man City, Watford, 2, 0, H, 0.606388536458, 0.327636390775, 0.0659750727666,
14/12/16, Middlesbrough, Liverpool, 0, 3, A, 0.13511208577, 0.353435672515, 0.511452241715,
14/12/16, Stoke, Southampton, 0, 0, D, 0.280299333008, 0.366032210835, 0.353668456157,
14/12/16, Sunderland, Chelsea, 0, 1, A, 0.08098683637, 0.326649812571, 0.592363351059,
14/12/16, Tottenham, Hull, 3, 0, H, 0.640634533252, 0.300657582537, 0.0587078842112,
14/12/16, West Brom, Swansea, 3, 1, H, 0.419178082192, 0.365296803653, 0.215525114155,
14/12/16, West Ham, Burnley, 1, 0, H, 0.497628509165, 0.354185360851, 0.148186129983,
17/12/16, Crystal Palace, Chelsea, 0, 1, A, 0.133863007102, 0.347297459974, 0.518839532924,
17/12/16, Middlesbrough, Swansea, 3, 0, H, 0.413539592587, 0.363302190228, 0.223158217185,
17/12/16, Stoke, Leicester, 2, 2, D, 0.330243902439, 0.378048780488, 0.291707317073,
17/12/16, Sunderland, Watford, 1, 0, H, 0.332409972299, 0.371191135734, 0.296398891967,
17/12/16, West Brom, Man United, 0, 2, A, 0.160391068833, 0.336504161712, 0.503104769454,
17/12/16, West Ham, Hull, 1, 0, H, 0.50271910965, 0.351460730998, 0.145820159352,
18/12/16, Bournemouth, Southampton, 1, 3, A, 0.299559471366, 0.371675640398, 0.328764888236,
18/12/16, Man City, Arsenal, 2, 1, H, 0.380714620066, 0.383991262287, 0.235294117647,
18/12/16, Tottenham, Burnley, 2, 1, H, 0.639122014203, 0.305681084571, 0.0551969012266,
19/12/16, Everton, Liverpool, 0, 1, A, 0.200384501627, 0.374149659864, 0.425465838509,
26/12/16, Arsenal, West Brom, 1, 0, H, 0.597202797203, 0.321503496503, 0.0812937062937,
26/12/16, Burnley, Middlesbrough, 1, 0, H, 0.301818181818, 0.36, 0.338181818182,
26/12/16, Chelsea, Bournemouth, 3, 0, H, 0.581027667984, 0.325942350333, 0.0930299816832,
26/12/16, Hull, Man City, 0, 3, A, 0.0813861211533, 0.337889075037, 0.580724803809,
26/12/16, Leicester, Everton, 0, 2, A, 0.340255068672, 0.3790058862, 0.280739045128,
26/12/16, Man United, Sunderland, 3, 1, H, 0.655866727881, 0.28792549354, 0.0562077785794,
26/12/16, Swansea, West Ham, 1, 4, A, 0.316908371786, 0.380355965722, 0.302735662492,
26/12/16, Watford, Crystal Palace, 1, 1, D, 0.345335515548, 0.375777414075, 0.278887070376,
27/12/16, Liverpool, Stoke, 4, 1, H, 0.599966677774, 0.324058647118, 0.0759746751083,
28/12/16, Southampton, Tottenham, 1, 4, A, 0.296357343003, 0.37250700511, 0.331135651887,
30/12/16, Hull, Everton, 2, 2, D, 0.202248853381, 0.358484982986, 0.439266163634,
31/12/16, Burnley, Sunderland, 4, 1, H, 0.36450104788, 0.366113171046, 0.269385781074,
31/12/16, Chelsea, Stoke, 4, 2, H, 0.634570933256, 0.301213522103, 0.0642155446403,
31/12/16, Leicester, West Ham, 1, 0, H, 0.396703127407, 0.37837005084, 0.224926821753,
31/12/16, Liverpool, Man City, 1, 0, H, 0.34370489174, 0.391659983962, 0.264635124298,
31/12/16, Man United, Middlesbrough, 2, 1, H, 0.673039022467, 0.269346997766, 0.0576139797661,
31/12/16, Southampton, West Brom, 1, 2, A, 0.504336224149, 0.332088058706, 0.163575717145,
31/12/16, Swansea, Bournemouth, 0, 3, A, 0.293831168831, 0.387824675325, 0.318344155844,
01/01/17, Arsenal, Crystal Palace, 2, 0, H, 0.58586645882, 0.334285961722, 0.0798475794579,
01/01/17, Watford, Tottenham, 1, 4, A, 0.152674736431, 0.343485617597, 0.503839645972,
02/01/17, Everton, Southampton, 3, 0, H, 0.388695376821, 0.366212792907, 0.245091830272,
02/01/17, Man City, Burnley, 2, 1, H, 0.655889396908, 0.299640757675, 0.0444698454169,
02/01/17, Middlesbrough, Leicester, 0, 0, D, 0.329274312983, 0.360210630245, 0.310515056771,
02/01/17, Sunderland, Liverpool, 2, 2, D, 0.0846201910203, 0.322235115594, 0.593144693386,
02/01/17, West Brom, Hull, 3, 1, H, 0.501469802245, 0.335649385355, 0.1628808124,
02/01/17, West Ham, Man United, 0, 2, A, 0.147669057377, 0.352587090164, 0.499743852459,
03/01/17, Bournemouth, Arsenal, 3, 3, D, 0.182729485894, 0.365458971789, 0.451811542317,
03/01/17, Crystal Palace, Swansea, 1, 2, A, 0.473152951072, 0.35146502173, 0.175382027198,
03/01/17, Stoke, Watford, 2, 0, H, 0.449611265953, 0.356168402523, 0.194220331524,
04/01/17, Tottenham, Chelsea, 2, 0, H, 0.297830374753, 0.378040762656, 0.32412886259,
14/01/17, Burnley, Southampton, 1, 0, H, 0.246434231379, 0.366085578447, 0.387480190174,
14/01/17, Hull, Bournemouth, 3, 1, H, 0.254736506926, 0.38401528419, 0.361248208884,
14/01/17, Leicester, Chelsea, 0, 3, A, 0.144801512287, 0.343541272842, 0.511657214871,
14/01/17, Sunderland, Stoke, 1, 3, A, 0.283792544571, 0.377633711507, 0.338573743922,
14/01/17, Swansea, Arsenal, 0, 4, A, 0.119474042167, 0.361482656994, 0.519043300839,
14/01/17, Tottenham, West Brom, 4, 0, H, 0.619613670134, 0.303450553079, 0.0769357767872,
14/01/17, Watford, Middlesbrough, 0, 0, D, 0.358824484494, 0.360123396655, 0.28105211885,
14/01/17, West Ham, Crystal Palace, 3, 0, H, 0.360128617363, 0.373954983923, 0.265916398714,
15/01/17, Everton, Man City, 4, 0, H, 0.182103163294, 0.379025363351, 0.438871473354,
15/01/17, Man United, Liverpool, 1, 1, D, 0.397609311104, 0.364737338786, 0.23765335011,
21/01/17, Bournemouth, Watford, 2, 2, D, 0.450049878866, 0.365825851503, 0.184124269631,
21/01/17, Crystal Palace, Everton, 0, 1, A, 0.265031265031, 0.378387045054, 0.356581689915,
21/01/17, Liverpool, Swansea, 2, 3, A, 0.636739891754, 0.309137217447, 0.0541228907991,
21/01/17, Man City, Tottenham, 2, 2, D, 0.392080745342, 0.376086956522, 0.231832298137,
21/01/17, Middlesbrough, West Ham, 1, 3, A, 0.360985093973, 0.359202851588, 0.279812054439,
21/01/17, Stoke, Man United, 1, 1, D, 0.138827297364, 0.349593495935, 0.511579206701,
21/01/17, West Brom, Sunderland, 2, 0, H, 0.503762324857, 0.342631032693, 0.153606642449,
22/01/17, Arsenal, Burnley, 2, 1, H, 0.652186956261, 0.297294054119, 0.0505189896202,
22/01/17, Chelsea, Hull, 2, 0, H, 0.658541917149, 0.296480489671, 0.0449775931796,
22/01/17, Southampton, Leicester, 3, 0, H, 0.475116311857, 0.340899478359, 0.183984209784,
31/01/17, Arsenal, Watford, 1, 2, A, 0.636056897122, 0.307112140258, 0.0568309626199,
31/01/17, Bournemouth, Crystal Palace, 0, 2, A, 0.402805611222, 0.371820564205, 0.225373824572,
31/01/17, Burnley, Leicester, 1, 0, H, 0.304766568723, 0.370388507999, 0.324844923278,
31/01/17, Liverpool, Chelsea, 1, 1, D, 0.330730437612, 0.37140068326, 0.297868879128,
31/01/17, Middlesbrough, West Brom, 1, 1, D, 0.343381389253, 0.348951507208, 0.307667103539,
31/01/17, Sunderland, Tottenham, 0, 0, D, 0.0877838036584, 0.331923890063, 0.580292306278,
31/01/17, Swansea, Southampton, 2, 1, H, 0.257266049186, 0.374001916321, 0.368732034494,
01/02/17, Man United, Hull, 0, 0, D, 0.665857924731, 0.28708457936, 0.0470574959093,
01/02/17, Stoke, Everton, 1, 1, D, 0.298824297845, 0.380470280862, 0.320705421293,
01/02/17, West Ham, Man City, 0, 4, A, 0.13412252868, 0.372345618745, 0.493531852575,
04/02/17, Chelsea, Arsenal, 3, 1, H, 0.426909307876, 0.366646778043, 0.206443914081,
04/02/17, Crystal Palace, Sunderland, 0, 4, A, 0.495006570302, 0.348357424442, 0.156636005256,
04/02/17, Everton, Bournemouth, 6, 3, H, 0.483567452955, 0.357805459846, 0.158627087199,
04/02/17, Hull, Liverpool, 2, 0, H, 0.108688750132, 0.334321092179, 0.556990157689,
04/02/17, Southampton, West Ham, 1, 3, A, 0.455762929192, 0.360735147457, 0.183501923351,
04/02/17, Tottenham, Middlesbrough, 1, 0, H, 0.640241683046, 0.294460216932, 0.0652981000218,
04/02/17, Watford, Burnley, 2, 1, H, 0.414992272025, 0.355177743431, 0.229829984544,
04/02/17, West Brom, Stoke, 1, 0, H, 0.383378442923, 0.361248208884, 0.255373348193,
05/02/17, Leicester, Man United, 0, 3, A, 0.153036016123, 0.348329215967, 0.498634767911,
05/02/17, Man City, Swansea, 2, 1, H, 0.614930182599, 0.327604726101, 0.0574650912997,
11/02/17, Arsenal, Hull, 2, 0, H, 0.615193990552, 0.315186246418, 0.0696197630295,
11/02/17, Liverpool, Tottenham, 2, 0, H, 0.379091197966, 0.371941531617, 0.248967270416,
11/02/17, Man United, Watford, 2, 0, H, 0.633847454046, 0.304246777942, 0.0619057680118,
11/02/17, Middlesbrough, Everton, 0, 0, D, 0.233952834609, 0.359206621896, 0.406840543495,
11/02/17, Stoke, Crystal Palace, 1, 0, H, 0.411719113316, 0.36071926833, 0.227561618354,
11/02/17, Sunderland, Southampton, 0, 4, A, 0.226561289323, 0.370215403688, 0.403223306989,
11/02/17, West Ham, West Brom, 2, 2, D, 0.392699115044, 0.362673830594, 0.244627054362,
12/02/17, Burnley, Chelsea, 1, 1, D, 0.098556495769, 0.325634644102, 0.575808860129,
12/02/17, Swansea, Leicester, 2, 0, H, 0.357316875102, 0.369498132207, 0.273184992691,
13/02/17, Bournemouth, Man City, 0, 2, A, 0.109861591696, 0.357915224913, 0.532223183391,
25/02/17, Chelsea, Swansea, 3, 1, H, 0.636893336989, 0.30340005484, 0.0597066081711,
25/02/17, Crystal Palace, Middlesbrough, 1, 0, H, 0.432585995086, 0.34136977887, 0.226044226044,
25/02/17, Everton, Sunderland, 2, 0, H, 0.562053216839, 0.339853057983, 0.0980937251787,
25/02/17, Hull, Burnley, 1, 1, D, 0.408877774304, 0.353547983745, 0.237574241951,
25/02/17, Watford, West Ham, 1, 1, D, 0.331039003605, 0.371353654539, 0.297607341855,
25/02/17, West Brom, Bournemouth, 2, 1, H, 0.417060888143, 0.363802838395, 0.219136273463,
26/02/17, Tottenham, Stoke, 4, 0, H, 0.56342868695, 0.335995148085, 0.100576164965,
27/02/17, Leicester, Liverpool, 3, 1, H, 0.146101824678, 0.359448768661, 0.494449406661,
04/03/17, Leicester, Hull, 3, 1, H, 0.467858663261, 0.349794238683, 0.182347098056,
04/03/17, Liverpool, Arsenal, 3, 1, H, 0.394691913705, 0.377308707124, 0.227999379171,
04/03/17, Man United, Bournemouth, 1, 1, D, 0.639566956282, 0.300303406427, 0.0601296372914,
04/03/17, Stoke, Middlesbrough, 2, 0, H, 0.454424778761, 0.343657817109, 0.20191740413,
04/03/17, Swansea, Burnley, 3, 2, H, 0.430790108565, 0.358112183353, 0.211097708082,
04/03/17, Watford, Southampton, 3, 4, A, 0.248053392659, 0.364373112983, 0.387573494359,
04/03/17, West Brom, Crystal Palace, 0, 2, A, 0.409254901961, 0.35262745098, 0.238117647059,
05/03/17, Sunderland, Man City, 0, 2, A, 0.0733781485381, 0.336923949137, 0.589697902324,
05/03/17, Tottenham, Everton, 3, 2, H, 0.495574085953, 0.35625400898, 0.148171905067,
06/03/17, West Ham, Chelsea, 1, 2, A, 0.141092814371, 0.354291417166, 0.504615768463,
08/03/17, Man City, Stoke, 0, 0, D, 0.632553000483, 0.307644499689, 0.0598024998274,
11/03/17, Bournemouth, West Ham, 3, 2, H, 0.320078226858, 0.386245110821, 0.293676662321,
11/03/17, Everton, West Brom, 3, 0, H, 0.514293006636, 0.337417049515, 0.148289943849,
11/03/17, Hull, Swansea, 2, 1, H, 0.341993464052, 0.368300653595, 0.289705882353,
12/03/17, Liverpool, Burnley, 2, 1, H, 0.641156116426, 0.300223895787, 0.0586199877875,
18/03/17, Bournemouth, Swansea, 2, 0, H, 0.386249213342, 0.374606670862, 0.239144115796,
18/03/17, Crystal Palace, Watford, 1, 0, H, 0.449765670767, 0.352226127709, 0.198008201523,
18/03/17, Everton, Hull, 4, 0, H, 0.546090488548, 0.334198352702, 0.11971115875,
18/03/17, Stoke, Chelsea, 1, 2, A, 0.139494762785, 0.341836105977, 0.518669131238,
