Date, HomeTeam, AwayTeam, FTHG, FTAG, FTR, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
13/08/16, Burnley, Swansea, 0, 1, A, 0.347705373183, 0.370243344766, 0.282051282051,
13/08/16, Crystal Palace, West Brom, 0, 1, A, 0.437595129376, 0.346118721461, 0.216286149163,
13/08/16, Everton, Tottenham, 1, 1, D, 0.273627801234, 0.377232867814, 0.349139330952,
13/08/16, Hull, Leicester, 2, 1, H, 0.202728755747, 0.357407682041, 0.439863562213,
13/08/16, Man City, Sunderland, 2, 1, H, 0.637485105488, 0.301254643583, 0.0612602509287,
13/08/16, Middlesbrough, Stoke, 1, 1, D, 0.372688939345, 0.362309438858, 0.265001621797,
13/08/16, Southampton, Watford, 1, 1, D, 0.465749539072, 0.353566869948, 0.18068359098,
14/08/16, Arsenal, Liverpool, 3, 4, A, 0.344323534189, 0.383790807211, 0.2718856586,
14/08/16, Bournemouth, Man United, 1, 3, A, 0.181701581873, 0.353712412712, 0.464586005415,
15/08/16, Chelsea, West Ham, 2, 1, H, 0.50384319754, 0.34857801691, 0.14757878555,
19/08/16, Man United, Southampton, 2, 0, H, 0.565320409262, 0.321917070544, 0.112762520194,
20/08/16, Burnley, Liverpool, 2, 0, H, 0.128108869076, 0.329657437823, 0.542233693102,
20/08/16, Leicester, Arsenal, 0, 0, D, 0.279442734489, 0.396889680868, 0.323667584643,
20/08/16, Stoke, Man City, 1, 4, A, 0.159723146546, 0.350192998802, 0.490083854652,
20/08/16, Swansea, Hull, 0, 2, A, 0.486389387868, 0.340058035097, 0.173552577035,
20/08/16, Tottenham, Crystal Palace, 1, 0, H, 0.568355891302, 0.323995383485, 0.107648725212,
20/08/16, Watford, Chelsea, 1, 2, A, 0.162368034211, 0.341306962448, 0.496325003341,
20/08/16, West Brom, Everton, 1, 2, A, 0.293770491803, 0.366229508197, 0.34,
21/08/16, Sunderland, Middlesbrough, 1, 2, A, 0.346852003271, 0.363859362224, 0.289288634505,
