Season, Home, Away, HG, AG, Result, Before: P[Home], Before: P[Draw], Before: P[Away], Before: Sum, After: P[Home], After: P[Draw], After: P[Away], After: Sum
14-15, Stoke, Arsenal, 3, 2, H, 0.212099644128, 0.365302491103, 0.422597864769, 1.0, 0.290889679715, 0.409731316726, 0.299379003559, 1.0
14-15, Tottenham, Crystal Palace, 0, 0, D, 0.508880994671, 0.348431024275, 0.142687981054, 1.0, 0.398114268798, 0.413587921848, 0.188297809355, 1.0
14-15, Aston Villa, Leicester, 2, 1, H, 0.362228517469, 0.372049102927, 0.265722379603, 0.999999999999, 0.426005665722, 0.416005665722, 0.157988668555, 0.999999999999
14-15, West Ham, Swansea, 3, 1, H, 0.354612616026, 0.377533623792, 0.267853760182, 1.0, 0.451420723622, 0.442892593294, 0.105686683084, 1.0
14-15, Southampton, Man United, 1, 2, A, 0.296592423377, 0.381686655245, 0.321720921378, 1.0, 0.228764515515, 0.381686655245, 0.38954882924, 1.0
14-15, Arsenal, Newcastle, 4, 1, H, 0.557607739666, 0.333333333333, 0.109058927001, 1.0, 0.646086191733, 0.333333333333, 0.0205804749342, 1.0
14-15, Burnley, Southampton, 1, 0, H, 0.170428893905, 0.345856175427, 0.483714930668, 1.0, 0.253386004514, 0.391646243147, 0.354967752338, 1.0
14-15, Chelsea, Hull, 2, 0, H, 0.675411997363, 0.27798286091, 0.0466051417271, 1.0, 0.675411997363, 0.27798286091, 0.0466051417271, 1.0
14-15, Crystal Palace, Stoke, 1, 1, D, 0.336656441718, 0.367906441718, 0.295437116564, 1.0, 0.336656441718, 0.367906441718, 0.295437116564, 1.0
14-15, Leicester, Man City, 0, 1, A, 0.120026791695, 0.360616208975, 0.51935699933, 1.0, 0.120026791695, 0.360616208975, 0.51935699933, 1.0
14-15, Sunderland, West Ham, 1, 1, D, 0.297815254887, 0.374856266769, 0.327328478344, 1.0, 0.297815254887, 0.374856266769, 0.327328478344, 1.0
14-15, West Brom, Aston Villa, 1, 0, H, 0.393838158872, 0.364142538976, 0.242019302153, 1.0, 0.454454342985, 0.408652561248, 0.136893095769, 1.0
14-15, Man United, Liverpool, 3, 0, H, 0.449413735343, 0.367504187605, 0.183082077052, 1.0, 0.559530988274, 0.367504187605, 0.0729648241206, 1.0
14-15, Swansea, Tottenham, 1, 2, A, 0.330255818427, 0.379303712252, 0.290440469321, 1.0, 0.259299865359, 0.379303712252, 0.361396422389, 1.0
14-15, Everton, QPR, 3, 1, H, 0.563602015113, 0.326196473552, 0.110201511335, 1.0, 0.629061712846, 0.326196473552, 0.044741813602, 1.0
14-15, Aston Villa, Man United, 1, 1, D, 0.140205886617, 0.339277946933, 0.520516166449, 0.999999999999, 0.226185297955, 0.385528490648, 0.388286211396, 0.999999999999
14-15, Hull, Swansea, 0, 1, A, 0.293621911511, 0.371193257997, 0.335184830492, 1.0, 0.22714039456, 0.371193257997, 0.401666347443, 1.0
14-15, Man City, Crystal Palace, 3, 0, H, 0.617708136681, 0.308665282235, 0.0736265810836, 1.0, 0.617708136681, 0.308665282235, 0.0736265810836, 1.0
14-15, QPR, West Brom, 3, 2, H, 0.346748045012, 0.375166889186, 0.278085065802, 1.0, 0.412073240511, 0.418905206943, 0.169021552546, 1.0
14-15, Southampton, Everton, 3, 0, H, 0.33644503715, 0.384073156792, 0.279481806058, 1.0, 0.46915602972, 0.470302914841, 0.0605410554389, 1.0
14-15, Tottenham, Burnley, 2, 1, H, 0.542618162507, 0.337626128518, 0.119755708975, 1.0, 0.588356346256, 0.337626128518, 0.0740175252257, 1.0
14-15, West Ham, Leicester, 2, 0, H, 0.481516738061, 0.355069014755, 0.163414247184, 1.0, 0.559289227352, 0.355069014755, 0.0856417578931, 1.0
14-15, Liverpool, Arsenal, 2, 2, D, 0.295432830117, 0.387731702656, 0.316835467227, 1.0, 0.295432830117, 0.387731702656, 0.316835467227, 1.0
14-15, Newcastle, Sunderland, 0, 1, A, 0.412898576833, 0.36461898757, 0.222482435597, 1.0, 0.30488380472, 0.428157088813, 0.266959106467, 1.0
14-15, Stoke, Chelsea, 0, 2, A, 0.143150785494, 0.339891352224, 0.516957862282, 1.0, 0.143150785494, 0.339891352224, 0.516957862282, 1.0
14-15, Arsenal, QPR, 2, 1, H, 0.612461581447, 0.31573065102, 0.0718077675328, 1.0, 0.612461581447, 0.31573065102, 0.0718077675328, 1.0
14-15, Burnley, Liverpool, 0, 1, A, 0.183439919219, 0.371423763043, 0.445136317738, 1.0, 0.183439919219, 0.371423763043, 0.445136317738, 1.0
14-15, Chelsea, West Ham, 2, 0, H, 0.581994928149, 0.33347421809, 0.0845308537616, 1.0, 0.644695688927, 0.33347421809, 0.021830092984, 1.0
14-15, Crystal Palace, Southampton, 1, 3, A, 0.245202161356, 0.365194708403, 0.38960313024, 0.999999999999, 0.153642630892, 0.365194708403, 0.481162660704, 0.999999999999
14-15, Everton, Stoke, 0, 1, A, 0.469536423841, 0.351821192053, 0.178642384106, 1.0, 0.35934602649, 0.416639072848, 0.224014900662, 1.0
