home, away, result, us, B365, BW, IW, LB, PS, WH, VC
West Ham, Tottenham,A,2.435745672,9.064216338,8.847592297,8.557836144,8.067510161,8.65330426,8.965622291,8.758184017
Arsenal, West Brom,H,2.918062666,9.681154084,9.417996469,9.125350822,8.667636504,9.248188257,9.552706439,9.367586223
Bournemouth, Leicester,D,3.338873556,10.06127104,9.806231764,9.509071752,9.060700088,9.636581115,9.945770023,9.76084465
Chelsea, Man City,A,3.197332943,9.996943557,9.720517478,9.433490356,8.985118692,9.548900759,9.887630488,9.68084465
Man United, Crystal Palace,H,3.599249432,10.64433242,10.38988867,10.06720392,9.705036416,10.22529805,10.56303772,10.39792418
Stoke, Southampton,H,3.552409605,10.55640745,10.30753573,10.01457234,9.629013024,10.12931591,10.48164237,10.31819753
West Brom, Watford,D,3.516268543,10.52250915,10.26182145,10.39525416,9.571870167,10.06811373,10.44735666,10.26355272
West Ham, Swansea,H,3.447458549,10.98169282,10.72573897,10.8268331,10.01923859,10.541232,10.89559682,10.72355272
Everton, Burnley,A,3.203253209,10.61145689,10.36714378,10.50952541,9.663621132,10.15457674,10.50522249,10.34439335
Newcastle, Liverpool,D,3.609166387,10.4968437,10.27342307,10.425367,9.594993681,10.07071166,10.38560527,10.23430161
Burnley, West Ham,D,3.989788623,10.86616189,10.64914561,10.80908793,9.961857586,10.43527148,10.75426886,10.60361979
Crystal Palace, Chelsea,H,3.927859096,10.37265539,10.15174978,10.36383245,9.468802031,9.959177201,10.2344732,10.11806271
Liverpool, Man United,D,3.912580698,10.73988703,10.53325267,10.74755338,9.855218893,10.33305107,10.60228929,10.5022435
Man City, Stoke,H,4.359737264,11.40360385,11.14534142,11.38126694,10.46423229,10.99506039,11.28766788,11.11729415
Tottenham, Bournemouth,H,4.828132994,12.02343856,11.76922734,11.98400667,11.12502524,11.60654975,11.88674623,11.71582085
Watford, Arsenal,H,4.81328102,11.70286865,11.43832488,11.70042458,10.80427053,11.27176714,11.54399004,11.3790153
Southampton, Newcastle,D,4.672498697,11.61295856,11.33680203,11.60951549,10.69121811,11.14846617,11.45353778,11.25549751
Leicester, West Brom,D,5.064945277,11.53005701,11.25169565,11.54635759,10.62017986,11.05783795,11.38970799,11.19200545
Chelsea, Watford,H,5.458754365,12.13210397,11.84464437,12.09243268,11.21384741,11.63787684,11.97564549,11.78170129
Man City, Burnley,H,5.879841127,12.79689558,12.52723823,12.76785482,11.8962621,12.27113675,12.69566765,12.41735572
Newcastle, Crystal Palace,H,6.346693153,13.22988527,12.96110066,13.19943377,12.32869454,12.70378981,13.14486551,12.86009601
Southampton, West Brom,H,6.729924017,13.73036192,13.45129674,13.63101271,12.82374404,13.21306625,13.63362406,13.37267756
Stoke, Bournemouth,A,6.590579639,13.57235326,13.31646528,13.43536054,12.67601677,13.06187834,13.48917962,13.2159208
Swansea, Leicester,A,6.292357193,13.52002106,13.25866181,13.3313143,12.62923314,13.00782429,13.46597776,13.1686235
Everton, Arsenal,A,6.106972596,13.92192987,13.67136022,13.74435778,13.02483754,13.40824139,13.89378525,13.58529017
Tottenham, Liverpool,H,6.062325306,13.90989486,14.05124849,13.73870806,12.99093923,13.38443187,14.28052558,13.56355104
Arsenal, Swansea,H,6.449610017,14.50248745,14.62659096,14.34144778,13.61835236,13.99556813,14.89315517,14.17531574
Bournemouth, Chelsea,A,6.418768403,15.01053148,15.1008457,14.85037636,14.08960589,14.48039033,15.3790209,14.65108667
Crystal Palace, West Ham,D,6.839078415,15.01053148,15.47798856,15.23187925,14.08960589,14.47708272,15.7540209,14.65108667
Man United, Tottenham,H,7.315010601,15.41718384,15.88879937,15.22622953,14.48508612,14.86928207,16.14746352,15.04452929
Watford, Stoke,A,7.219410081,15.2316059,15.70401676,15.07067397,14.29827293,14.67950105,15.96466782,14.85081201
West Brom, Man City,A,7.208721108,15.8173354,16.30927992,15.6734137,14.94665199,15.28486691,16.57226276,15.47731804
Leicester, Everton,H,7.20043212,16.22143022,16.70706997,15.66776398,15.33301562,15.68208318,16.95900309,15.86862239
Burnley, Newcastle,H,7.132697982,16.1645474,16.63770581,15.59218259,15.27976118,15.63247777,16.91292014,15.80406972
