Date, HomeTeam, AwayTeam, FTHG, FTAG, FTR, AVGHOMEPROB, AVGDRAWPROB, AVGAWAYPROB
11/08/17, Arsenal, Leicester, 4, 3, H, 0.521858548867, 0.357633325704, 0.120508125429,
12/08/17, Brighton, Man City, 0, 2, A, 0.079228207974, 0.315034576966, 0.60573721506,
12/08/17, Chelsea, Burnley, 2, 3, A, 0.657502484266, 0.284862537264, 0.0576349784697,
12/08/17, Crystal Palace, Huddersfield, 0, 3, A, 0.475626937165, 0.344885883347, 0.179487179487,
12/08/17, Everton, Stoke, 1, 0, H, 0.505638604773, 0.338709677419, 0.155651717808,
12/08/17, Southampton, Swansea, 0, 0, D, 0.520364817591, 0.337831084458, 0.141804097951,
12/08/17, Watford, Liverpool, 3, 3, D, 0.1400274075, 0.354927120967, 0.505045471534,
12/08/17, West Brom, Bournemouth, 1, 0, H, 0.357038242474, 0.366965012205, 0.275996745321,
13/08/17, Man United, West Ham, 4, 0, H, 0.615416154162, 0.309389093891, 0.0751947519475,
13/08/17, Newcastle, Tottenham, 0, 2, A, 0.158139534884, 0.358139534884, 0.483720930233,
19/08/17, Bournemouth, Watford, 0, 2, A, 0.421828021648, 0.371767889357, 0.206404088996,
19/08/17, Burnley, West Brom, 0, 1, A, 0.351035843473, 0.356790529431, 0.292173627096,
19/08/17, Leicester, Brighton, 2, 0, H, 0.492736077482, 0.343691148776, 0.163572773742,
19/08/17, Liverpool, Crystal Palace, 1, 0, H, 0.578100140384, 0.333083762284, 0.0888160973327,
19/08/17, Southampton, West Ham, 3, 2, H, 0.478195488722, 0.357621326042, 0.164183185236,
19/08/17, Stoke, Arsenal, 1, 0, H, 0.181078767123, 0.369577625571, 0.449343607306,
19/08/17, Swansea, Man United, 0, 4, A, 0.0813853557924, 0.293313853558, 0.62530079065,
20/08/17, Huddersfield, Newcastle, 1, 0, H, 0.356701366298, 0.366948601171, 0.276350032531,
20/08/17, Tottenham, Chelsea, 1, 2, A, 0.397913097648, 0.376576857187, 0.225510045164,
21/08/17, Man City, Everton, 1, 1, D, 0.589274885212, 0.330763233128, 0.0799618816599,
26/08/17, Bournemouth, Man City, 1, 2, A, 0.0772337203433, 0.330556957765, 0.592209321891,
26/08/17, Crystal Palace, Swansea, 0, 2, A, 0.442992874109, 0.355255344418, 0.201751781473,
26/08/17, Huddersfield, Southampton, 0, 0, D, 0.230673510655, 0.356976201587, 0.412350287759,
26/08/17, Man United, Leicester, 2, 0, H, 0.606259464917, 0.316002019182, 0.0777385159011,
26/08/17, Newcastle, West Ham, 3, 0, H, 0.368919569754, 0.373575212715, 0.257505217531,
26/08/17, Watford, Brighton, 0, 0, D, 0.44447761194, 0.35328358209, 0.20223880597,
27/08/17, Chelsea, Everton, 2, 0, H, 0.573897743738, 0.321362036845, 0.104740219416,
27/08/17, Liverpool, Arsenal, 4, 0, H, 0.373643654663, 0.389526655134, 0.236829690203,
27/08/17, Tottenham, Burnley, 1, 1, D, 0.647393299993, 0.292868397616, 0.0597383023909,
27/08/17, West Brom, Stoke, 1, 1, D, 0.378886010363, 0.351683937824, 0.269430051813,
09/09/17, Arsenal, Bournemouth, 3, 0, H, 0.556460009465, 0.353431140558, 0.0901088499763,
09/09/17, Brighton, West Brom, 3, 1, H, 0.343997361478, 0.349604221636, 0.306398416887,
09/09/17, Everton, Tottenham, 0, 3, A, 0.228056548081, 0.370514214696, 0.401429237222,
09/09/17, Leicester, Chelsea, 1, 2, A, 0.178485491861, 0.369851380042, 0.451663128096,
09/09/17, Man City, Liverpool, 5, 0, H, 0.415761667156, 0.391693572058, 0.192544760787,
09/09/17, Southampton, Watford, 0, 2, A, 0.508572159672, 0.343654042989, 0.147773797339,
09/09/17, Stoke, Man United, 2, 2, D, 0.118034617532, 0.333445002792, 0.548520379676,
10/09/17, Burnley, Crystal Palace, 1, 0, H, 0.371871467786, 0.361375746811, 0.266752785403,
10/09/17, Swansea, Newcastle, 0, 1, A, 0.368412518242, 0.363710069726, 0.267877412032,
11/09/17, West Ham, Huddersfield, 2, 0, H, 0.443049194859, 0.35839858177, 0.198552223371,
15/09/17, Bournemouth, Brighton, 2, 1, H, 0.398904538341, 0.366040688576, 0.235054773083,
16/09/17, Crystal Palace, Southampton, 0, 1, A, 0.292335407796, 0.370455289879, 0.337209302326,
16/09/17, Huddersfield, Leicester, 1, 1, D, 0.257055805003, 0.373155869147, 0.36978832585,
16/09/17, Liverpool, Burnley, 1, 1, D, 0.633199165176, 0.300387596899, 0.0664132379249,
16/09/17, Newcastle, Stoke, 2, 1, H, 0.372922381798, 0.362756172341, 0.264321445861,
16/09/17, Tottenham, Swansea, 0, 0, D, 0.639214103082, 0.302785627776, 0.0580002691428,
16/09/17, Watford, Man City, 0, 6, A, 0.0855449156407, 0.34829001368, 0.566165070679,
16/09/17, West Brom, West Ham, 0, 0, D, 0.373245118606, 0.362594803937, 0.264160077457,
17/09/17, Chelsea, Arsenal, 0, 0, D, 0.440625, 0.380965909091, 0.178409090909,
17/09/17, Man United, Everton, 4, 0, H, 0.616261137766, 0.303289924606, 0.0804489376285,
23/09/17, Burnley, Huddersfield, 0, 0, D, 0.411135577226, 0.350424661843, 0.238439760931,
23/09/17, Everton, Bournemouth, 2, 1, H, 0.499545040946, 0.348628623424, 0.15182633563,
23/09/17, Leicester, Liverpool, 2, 3, A, 0.196194128928, 0.383832423661, 0.419973447411,
23/09/17, Man City, Crystal Palace, 5, 0, H, 0.661048961209, 0.300256671025, 0.038694367766,
23/09/17, Southampton, Man United, 0, 1, A, 0.163695299838, 0.348730415991, 0.487574284171,
23/09/17, Stoke, Chelsea, 0, 4, A, 0.142066884586, 0.350138295197, 0.507794820216,
23/09/17, Swansea, Watford, 1, 2, A, 0.366003558143, 0.369399967653, 0.264596474203,
23/09/17, West Ham, Tottenham, 2, 3, A, 0.14185110664, 0.363304828974, 0.494844064386,
24/09/17, Brighton, Newcastle, 1, 0, H, 0.325408618128, 0.360409443619, 0.314181938253,
25/09/17, Arsenal, West Brom, 2, 0, H, 0.593227792436, 0.324538258575, 0.0822339489886,
30/09/17, Bournemouth, Leicester, 0, 0, D, 0.293208353889, 0.388587403388, 0.318204242723,
30/09/17, Chelsea, Man City, 0, 1, A, 0.289023989484, 0.393197502465, 0.317778508051,
30/09/17, Huddersfield, Tottenham, 0, 4, A, 0.0970112203356, 0.326680567967, 0.576308211697,
30/09/17, Man United, Crystal Palace, 4, 0, H, 0.679848320693, 0.275731310943, 0.044420368364,
30/09/17, Stoke, Southampton, 2, 1, H, 0.293037870018, 0.372581445345, 0.334380684637,
30/09/17, West Brom, Watford, 2, 2, D, 0.393729903537, 0.35498392283, 0.251286173633,
30/09/17, West Ham, Swansea, 1, 0, H, 0.455037286153, 0.35516888434, 0.189793829507,
01/10/17, Arsenal, Brighton, 2, 0, H, 0.618657581908, 0.318570600174, 0.0627718179182,
01/10/17, Everton, Burnley, 0, 1, A, 0.516550297388, 0.333074734937, 0.150374967675,
01/10/17, Newcastle, Liverpool, 1, 1, D, 0.161334056399, 0.371068329718, 0.467597613883,
14/10/17, Burnley, West Ham, 1, 1, D, 0.319855358317, 0.371137409599, 0.309007232084,
14/10/17, Crystal Palace, Chelsea, 2, 1, H, 0.0942161485901, 0.323549225291, 0.582234626119,
14/10/17, Liverpool, Man United, 0, 0, D, 0.310463402653, 0.377763222532, 0.311773374816,
14/10/17, Man City, Stoke, 7, 2, H, 0.642423618969, 0.316325480918, 0.0412509001132,
14/10/17, Swansea, Huddersfield, 2, 0, H, 0.41375, 0.35015625, 0.23609375,
14/10/17, Tottenham, Bournemouth, 1, 0, H, 0.617241602485, 0.327939939163, 0.0548184583522,
14/10/17, Watford, Arsenal, 2, 1, H, 0.14898302889, 0.376991838321, 0.474025132789,
15/10/17, Brighton, Everton, 1, 1, D, 0.275279987015, 0.361629605584, 0.363090407401,
15/10/17, Southampton, Newcastle, 2, 2, D, 0.45949040939, 0.354709418838, 0.185800171772,
16/10/17, Leicester, West Brom, 1, 1, D, 0.431331119831, 0.356927256263, 0.211741623906,
20/10/17, West Ham, Brighton, 0, 3, A, 0.48391158366, 0.3375769446, 0.17851147174,
21/10/17, Chelsea, Watford, 4, 2, H, 0.584832904884, 0.327579875138, 0.087587219978,
21/10/17, Huddersfield, Man United, 2, 1, H, 0.0811836769908, 0.304287809507, 0.614528513502,
21/10/17, Man City, Burnley, 3, 0, H, 0.670709667055, 0.298003935901, 0.0312863970441,
21/10/17, Newcastle, Crystal Palace, 1, 0, H, 0.436480622475, 0.357324554841, 0.206194822684,
21/10/17, Southampton, West Brom, 1, 0, H, 0.490628904623, 0.331250867694, 0.178120227683,
21/10/17, Stoke, Bournemouth, 1, 2, A, 0.391358994501, 0.372977219167, 0.235663786332,
21/10/17, Swansea, Leicester, 1, 2, A, 0.310717797443, 0.372173058014, 0.317109144543,
22/10/17, Everton, Arsenal, 2, 5, A, 0.214242239805, 0.375989044431, 0.409768715764,
22/10/17, Tottenham, Liverpool, 4, 1, H, 0.372787610619, 0.385113780025, 0.242098609355,
28/10/17, Arsenal, Swansea, 2, 1, H, 0.60550587904, 0.333380271774, 0.0611138491868,
28/10/17, Bournemouth, Chelsea, 0, 1, A, 0.14399797186, 0.368741285334, 0.487260742806,
28/10/17, Crystal Palace, West Ham, 2, 2, D, 0.360187278011, 0.371811430417, 0.268001291572,
28/10/17, Liverpool, Huddersfield, 3, 0, H, 0.620699439597, 0.31744342768, 0.0618571327233,
28/10/17, Man United, Tottenham, 1, 0, H, 0.395141065831, 0.367084639498, 0.237774294671,
28/10/17, Watford, Stoke, 0, 1, A, 0.402792696026, 0.377320853153, 0.219886450821,
28/10/17, West Brom, Man City, 2, 3, A, 0.0641231397724, 0.323752553254, 0.612124306974,
29/10/17, Brighton, Southampton, 1, 1, D, 0.276775556639, 0.360149520559, 0.363074922802,
29/10/17, Leicester, Everton, 2, 0, H, 0.391064967752, 0.37140160453, 0.237533427717,
30/10/17, Burnley, Newcastle, 1, 0, H, 0.304254969607, 0.363561688845, 0.332183341548,
04/11/17, Huddersfield, West Brom, 1, 0, H, 0.342391304348, 0.346014492754, 0.311594202899,
04/11/17, Newcastle, Bournemouth, 0, 1, A, 0.430410056869, 0.363214606405, 0.206375336726,
04/11/17, Southampton, Burnley, 0, 1, A, 0.541166274607, 0.315216045561, 0.143617679832,
04/11/17, Stoke, Leicester, 2, 2, D, 0.322416898641, 0.375307024726, 0.302276076633,
04/11/17, Swansea, Brighton, 0, 1, A, 0.375868195768, 0.356646745275, 0.267485058957,
04/11/17, West Ham, Liverpool, 1, 4, A, 0.151681000782, 0.375553818087, 0.472765181131,
05/11/17, Chelsea, Man United, 1, 0, H, 0.352595494613, 0.362716291218, 0.284688214169,
05/11/17, Everton, Watford, 3, 2, H, 0.393872741555, 0.369520816968, 0.236606441477,
05/11/17, Man City, Arsenal, 3, 1, H, 0.519512195122, 0.374337221633, 0.106150583245,
05/11/17, Tottenham, Crystal Palace, 1, 0, H, 0.610359309379, 0.319723129569, 0.0699175610515,
18/11/17, Arsenal, Tottenham, 2, 0, H, 0.32094376212, 0.399482870071, 0.279573367809,
18/11/17, Bournemouth, Huddersfield, 4, 0, H, 0.476781933663, 0.340014114326, 0.183203952011,
18/11/17, Burnley, Swansea, 2, 0, H, 0.436851738865, 0.34014643075, 0.223001830384,
18/11/17, Crystal Palace, Everton, 2, 2, D, 0.361605697637, 0.365814179346, 0.272580123017,
18/11/17, Leicester, Man City, 0, 2, A, 0.0851276460434, 0.351049332243, 0.563823021713,
18/11/17, Liverpool, Southampton, 3, 0, H, 0.57588155075, 0.328170660432, 0.0959477888175,
18/11/17, Man United, Newcastle, 4, 1, H, 0.647392040021, 0.286544544986, 0.066063414993,
18/11/17, West Brom, Chelsea, 0, 4, A, 0.135046672324, 0.335677051764, 0.529276275912,
19/11/17, Watford, West Ham, 2, 0, H, 0.39519650655, 0.374298190892, 0.230505302558,
20/11/17, Brighton, Stoke, 2, 2, D, 0.372812702528, 0.356286454958, 0.270900842515,
24/11/17, West Ham, Leicester, 1, 1, D, 0.313693487841, 0.37881508079, 0.307491431369,
25/11/17, Crystal Palace, Stoke, 2, 1, H, 0.416935112747, 0.362632305568, 0.220432581684,
25/11/17, Liverpool, Chelsea, 1, 1, D, 0.379861982434, 0.385508155583, 0.234629861982,
25/11/17, Man United, Brighton, 1, 0, H, 0.702833191851, 0.252918081494, 0.0442487266553,
25/11/17, Newcastle, Watford, 0, 3, A, 0.386582478295, 0.372217837411, 0.241199684294,
25/11/17, Swansea, Bournemouth, 0, 0, D, 0.315176374077, 0.368662838392, 0.316160787531,
25/11/17, Tottenham, West Brom, 1, 1, D, 0.653664957739, 0.285437162256, 0.0608978800055,
26/11/17, Burnley, Arsenal, 0, 1, A, 0.13300254145, 0.360643833959, 0.506353624592,
26/11/17, Huddersfield, Man City, 1, 2, A, 0.0477310538695, 0.295393264873, 0.656875681258,
26/11/17, Southampton, Everton, 4, 1, H, 0.46668585408, 0.343646567851, 0.189667578069,
28/11/17, Brighton, Crystal Palace, 0, 0, D, 0.339077630067, 0.358115870671, 0.302806499261,
28/11/17, Leicester, Tottenham, 2, 1, H, 0.168196137515, 0.368031776469, 0.463772086016,
28/11/17, Watford, Man United, 2, 4, A, 0.159487931724, 0.359914655287, 0.480597412988,
28/11/17, West Brom, Newcastle, 2, 2, D, 0.380370072405, 0.352534191472, 0.267095736122,
29/11/17, Arsenal, Huddersfield, 5, 0, H, 0.663069120075, 0.287390894079, 0.0495399858457,
29/11/17, Bournemouth, Burnley, 1, 2, A, 0.436804092687, 0.352542882937, 0.210653024376,
29/11/17, Chelsea, Swansea, 1, 0, H, 0.677253645603, 0.276734423332, 0.046011931065,
29/11/17, Everton, West Ham, 4, 0, H, 0.368978805395, 0.372029543995, 0.25899165061,
29/11/17, Man City, Southampton, 2, 1, H, 0.643482292935, 0.308352170637, 0.0481655364284,
29/11/17, Stoke, Liverpool, 0, 3, A, 0.125659359981, 0.362677294573, 0.511663345446,
02/12/17, Arsenal, Man United, 1, 3, A, 0.343150016271, 0.376830458835, 0.280019524894,
02/12/17, Brighton, Liverpool, 1, 5, A, 0.11630482942, 0.342822330527, 0.540872840053,
02/12/17, Chelsea, Newcastle, 3, 1, H, 0.641425698634, 0.297829554122, 0.0607447472436,
02/12/17, Everton, Huddersfield, 2, 0, H, 0.502175919821, 0.340366609521, 0.157457470658,
02/12/17, Leicester, Burnley, 1, 0, H, 0.471472737493, 0.349072512648, 0.179454749859,
02/12/17, Stoke, Swansea, 2, 1, H, 0.450132782532, 0.349660666863, 0.200206550605,
02/12/17, Watford, Tottenham, 1, 1, D, 0.163794273307, 0.372913556792, 0.463292169901,
02/12/17, West Brom, Crystal Palace, 0, 0, D, 0.358425865447, 0.357119529719, 0.284454604833,
03/12/17, Bournemouth, Southampton, 1, 1, D, 0.291851851852, 0.365761316872, 0.342386831276,
03/12/17, Man City, West Ham, 2, 1, H, 0.654520086996, 0.313923427305, 0.031556485699,
09/12/17, Burnley, Watford, 1, 0, H, 0.344455348381, 0.366535819431, 0.289008832188,
09/12/17, Crystal Palace, Bournemouth, 2, 2, D, 0.416756176155, 0.365505600737, 0.217738223109,
09/12/17, Huddersfield, Brighton, 2, 0, H, 0.34887168506, 0.347883380003, 0.303244934937,
09/12/17, Newcastle, Leicester, 2, 3, A, 0.325833470192, 0.37625225817, 0.297914271637,
09/12/17, Swansea, West Brom, 1, 0, H, 0.344240621385, 0.34936374153, 0.306395637085,
09/12/17, Tottenham, Stoke, 5, 1, H, 0.597646687199, 0.331595988312, 0.0707573244887,
09/12/17, West Ham, Chelsea, 1, 0, H, 0.115452344266, 0.335351089588, 0.549196566146,
10/12/17, Liverpool, Everton, 1, 1, D, 0.593077956989, 0.32997311828, 0.0769489247312,
10/12/17, Man United, Man City, 1, 2, A, 0.246418338109, 0.386182744349, 0.367398917542,
10/12/17, Southampton, Arsenal, 1, 1, D, 0.206584113561, 0.38266384778, 0.410752038659,
12/12/17, Burnley, Stoke, 1, 0, H, 0.389216780986, 0.354921040038, 0.255862178976,
12/12/17, Crystal Palace, Watford, 2, 1, H, 0.361929014802, 0.382142288716, 0.255928696483,
12/12/17, Huddersfield, Chelsea, 1, 3, A, 0.0988349131122, 0.3150671406, 0.586097946288,
13/12/17, Liverpool, West Brom, 0, 0, D, 0.633467952058, 0.311034392913, 0.0554976550287,
13/12/17, Man United, Bournemouth, 1, 0, H, 0.624690059358, 0.308137350665, 0.0671725899767,
13/12/17, Newcastle, Everton, 0, 1, A, 0.356310679612, 0.370226537217, 0.273462783172,
13/12/17, Southampton, Leicester, 1, 4, A, 0.410920869968, 0.365417245103, 0.22366188493,
13/12/17, Swansea, Man City, 0, 4, A, 0.0593012146854, 0.302647741231, 0.638051044084,
13/12/17, Tottenham, Brighton, 2, 0, H, 0.63750952282, 0.301959969527, 0.0605305076529,
13/12/17, West Ham, Arsenal, 0, 0, D, 0.148086093569, 0.375563861322, 0.476350045109,
16/12/17, Arsenal, Newcastle, 1, 0, H, 0.631686373874, 0.306517454955, 0.0617961711712,
16/12/17, Brighton, Burnley, 0, 0, D, 0.360491803279, 0.343442622951, 0.29606557377,
16/12/17, Chelsea, Southampton, 1, 0, H, 0.581073392756, 0.32713825147, 0.0917883557747,
16/12/17, Leicester, Crystal Palace, 0, 3, A, 0.445009443557, 0.36466656981, 0.190323986634,
16/12/17, Man City, Tottenham, 4, 1, H, 0.502542272674, 0.370580584131, 0.126877143195,
16/12/17, Stoke, West Ham, 0, 3, A, 0.379552715655, 0.368051118211, 0.252396166134,
16/12/17, Watford, Huddersfield, 1, 4, A, 0.477288321669, 0.353094551942, 0.169617126389,
17/12/17, Bournemouth, Liverpool, 0, 4, A, 0.12319851232, 0.364249186425, 0.512552301255,
17/12/17, West Brom, Man United, 1, 2, A, 0.134782608696, 0.333212560386, 0.532004830918,
18/12/17, Everton, Swansea, 3, 1, H, 0.501728723404, 0.337632978723, 0.160638297872,
22/12/17, Arsenal, Liverpool, 3, 3, D, 0.316744260716, 0.40632525285, 0.276930486434,
23/12/17, Brighton, Watford, 1, 0, H, 0.339241752831, 0.360249466601, 0.300508780568,
23/12/17, Burnley, Tottenham, 0, 3, A, 0.125317332102, 0.328294484191, 0.546388183706,
23/12/17, Everton, Chelsea, 0, 0, D, 0.147028948705, 0.341797866938, 0.511173184358,
